duration_ms,explicit,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature_1,time_signature_3,time_signature_4,time_signature_5
199640,0,0.674,0.461,-5.73,0,0.0491,0.714,0.0,0.241,0.844,125.636,0.0,0.0,1.0,0.0
220905,1,0.362,0.969,-2.974,1,0.0859,5.37e-05,0.779,0.394,0.346,166.038,0.0,0.0,1.0,0.0
227360,0,0.118,0.627,-7.689,0,0.0473,0.724,0.0421,0.973,0.487,187.497,0.0,1.0,0.0,0.0
332702,0,0.556,0.521,-10.811,1,0.0321,0.632,0.000582,0.102,0.355,127.956,0.0,0.0,1.0,0.0
485541,0,0.484,0.838,-16.897,0,0.0668,0.00509,0.648,0.293,0.253,127.993,0.0,0.0,1.0,0.0
159786,0,0.457,0.482,-9.34,0,0.0401,0.451,8.99e-06,0.125,0.742,80.56,0.0,0.0,1.0,0.0
273680,0,0.765,0.855,-5.088,1,0.0432,0.23,0.0,0.0456,0.758,95.389,0.0,0.0,1.0,0.0
331400,0,0.593,0.138,-25.831,0,0.0452,0.963,0.809,0.0903,0.172,125.039,0.0,0.0,1.0,0.0
188400,1,0.472,0.929,-4.439,1,0.0412,0.0137,0.0262,0.166,0.0663,100.035,1.0,0.0,0.0,0.0
203727,0,0.492,0.615,-6.663,1,0.244,0.196,0.0,0.0772,0.458,90.081,0.0,0.0,1.0,0.0
180200,0,0.25,0.228,-14.186,1,0.0364,0.811,0.000166,0.199,0.198,90.001,0.0,0.0,1.0,0.0
351720,0,0.639,0.309,-12.061,1,0.0316,0.422,0.0,0.175,0.622,91.039,0.0,0.0,1.0,0.0
273200,0,0.51,0.651,-8.651,1,0.0348,0.553,2.28e-06,0.107,0.596,124.984,0.0,0.0,1.0,0.0
245016,0,0.657,0.307,-16.463,0,0.0625,0.955,1.95e-05,0.237,0.811,123.898,0.0,0.0,1.0,0.0
232000,0,0.589,0.692,-4.496,0,0.0286,0.112,0.0,0.134,0.407,151.821,0.0,0.0,1.0,0.0
232493,0,0.318,0.885,-4.521,0,0.0581,0.0204,0.0,0.112,0.266,171.487,0.0,0.0,1.0,0.0
252800,0,0.607,0.578,-8.318,1,0.0259,0.167,0.000702,0.142,0.614,152.617,0.0,0.0,1.0,0.0
248506,0,0.822,0.689,-6.364,0,0.0408,0.195,0.0036,0.271,0.76,95.382,0.0,0.0,1.0,0.0
299909,0,0.397,0.668,-14.948,1,0.558,7.93e-05,0.86,0.341,0.366,117.799,0.0,0.0,0.0,1.0
195134,1,0.554,0.509,-9.429,1,0.339,0.149,1.86e-05,0.094,0.718,199.874,0.0,0.0,1.0,0.0
290453,0,0.373,0.832,-2.795,1,0.0409,2.13e-05,0.0565,0.088,0.375,195.091,0.0,0.0,0.0,1.0
236733,0,0.443,0.919,-5.026,1,0.0734,0.475,0.00231,0.8,0.536,172.489,0.0,0.0,1.0,0.0
146693,0,0.582,0.107,-12.637,1,0.0294,0.969,0.013,0.26,0.414,101.497,0.0,1.0,0.0,0.0
127760,0,0.616,0.211,-15.809,1,0.0287,0.759,0.0965,0.302,0.503,138.066,0.0,0.0,1.0,0.0
542587,0,0.341,0.553,-12.112,1,0.028,0.341,0.595,0.107,0.637,151.743,0.0,0.0,1.0,0.0
138161,0,0.721,0.304,-14.948,0,0.471,0.958,0.0,0.0911,0.722,75.857,0.0,0.0,0.0,1.0
240440,0,0.341,0.867,-4.727,0,0.0492,0.293,0.0,0.257,0.2,182.032,0.0,0.0,1.0,0.0
245266,0,0.565,0.875,-7.102,1,0.0723,0.175,0.00122,0.0542,0.676,102.554,0.0,0.0,1.0,0.0
221626,0,0.678,0.69,-7.496,1,0.0312,0.0832,0.0,0.167,0.887,134.04,0.0,0.0,1.0,0.0
408025,0,0.771,0.9,-6.906,0,0.0468,3.52e-05,0.862,0.0599,0.748,129.005,0.0,0.0,1.0,0.0
181493,0,0.723,0.0811,-14.113,1,0.0631,0.779,0.0,0.509,0.36,88.044,0.0,0.0,1.0,0.0
461380,0,0.667,0.526,-18.544,0,0.04,0.18,0.883,0.0771,0.0354,97.99,0.0,0.0,1.0,0.0
256760,0,0.659,0.741,-4.354,0,0.0388,0.072,0.0,0.166,0.454,122.013,0.0,0.0,1.0,0.0
178200,0,0.44,0.758,-12.764,1,0.0494,0.000616,0.0383,0.101,0.662,154.039,0.0,0.0,1.0,0.0
132493,0,0.922,0.976,-5.578,0,0.163,0.0727,4.25e-05,0.297,0.561,110.013,0.0,0.0,1.0,0.0
174615,0,0.619,0.398,-10.221,1,0.0696,0.798,0.001,0.229,0.579,156.055,0.0,0.0,1.0,0.0
218986,0,0.557,0.665,-6.19,0,0.0328,0.321,0.000281,0.0713,0.437,75.803,0.0,0.0,1.0,0.0
179257,0,0.324,0.104,-27.014,0,0.0414,0.995,0.957,0.0819,0.254,120.572,0.0,0.0,1.0,0.0
378613,0,0.292,0.766,-3.658,1,0.0343,0.0412,0.00016,0.0996,0.225,141.028,0.0,0.0,1.0,0.0
78450,0,0.21,0.939,-4.329,1,0.121,1.58e-06,0.525,0.467,0.0865,123.719,0.0,0.0,1.0,0.0
269626,0,0.499,0.279,-15.411,1,0.0563,0.926,0.000234,0.682,0.381,127.877,0.0,0.0,0.0,1.0
232693,0,0.35,0.831,-8.932,1,0.0714,0.00378,1.47e-05,0.111,0.821,198.275,0.0,0.0,1.0,0.0
254962,0,0.841,0.588,-11.024,1,0.0744,0.251,0.76,0.11,0.304,90.025,0.0,0.0,1.0,0.0
114056,0,0.678,0.173,-12.587,0,0.05,0.992,0.00358,0.809,0.647,117.976,0.0,0.0,1.0,0.0
240068,0,0.383,0.801,-6.309,0,0.0494,0.0404,0.0,0.285,0.506,134.866,0.0,0.0,1.0,0.0
211836,1,0.671,0.894,-3.701,0,0.0583,0.00758,0.00184,0.152,0.32,98.013,0.0,0.0,1.0,0.0
157936,0,0.413,0.0854,-18.838,0,0.0728,0.993,0.0,0.218,0.254,91.795,0.0,0.0,1.0,0.0
288613,1,0.336,0.803,-5.048,1,0.0528,0.539,0.0,0.244,0.357,142.684,0.0,0.0,1.0,0.0
453506,0,0.736,0.401,-11.285,1,0.0476,0.102,0.293,0.0938,0.0543,100.008,0.0,0.0,1.0,0.0
379038,0,0.402,0.974,-3.478,0,0.0463,0.0681,0.922,0.389,0.0386,173.997,0.0,0.0,1.0,0.0
186226,0,0.658,0.791,-4.66,1,0.0512,0.102,0.0,0.139,0.744,75.017,0.0,0.0,1.0,0.0
152672,0,0.245,0.00336,-38.793,0,0.0451,0.92,0.0234,0.119,0.0505,119.949,0.0,1.0,0.0,0.0
232851,0,0.495,0.965,-2.886,1,0.0466,0.0688,1.53e-05,0.359,0.928,141.983,0.0,0.0,1.0,0.0
208400,0,0.577,0.0513,-21.308,1,0.033,0.845,0.000144,0.106,0.0681,68.39,0.0,0.0,1.0,0.0
390000,0,0.595,0.755,-6.654,0,0.0348,0.00133,0.765,0.0958,0.103,149.997,0.0,0.0,1.0,0.0
153231,0,0.763,0.268,-18.192,0,0.0522,0.983,0.936,0.088,0.841,105.295,0.0,0.0,1.0,0.0
118466,1,0.904,0.601,-5.561,1,0.198,0.0305,0.0,0.615,0.761,87.037,0.0,0.0,1.0,0.0
183494,0,0.505,0.954,-2.391,1,0.056,0.0363,1.27e-06,0.335,0.738,149.993,0.0,0.0,1.0,0.0
164706,0,0.504,0.782,-9.27,1,0.0301,0.0661,1.31e-06,0.115,0.619,123.883,0.0,0.0,1.0,0.0
105293,0,0.663,0.166,-13.851,0,0.213,0.95,0.00904,0.114,0.732,125.613,0.0,0.0,1.0,0.0
279546,0,0.473,0.661,-6.391,1,0.0281,0.00176,0.0,0.137,0.378,153.973,0.0,0.0,1.0,0.0
258333,0,0.645,0.923,-9.781,0,0.0441,0.0876,0.00359,0.0303,0.81,109.988,0.0,0.0,1.0,0.0
320613,0,0.498,0.0538,-19.137,1,0.0565,0.993,0.908,0.156,0.16,80.057,0.0,0.0,1.0,0.0
209606,0,0.554,0.809,-3.767,1,0.0378,0.524,0.0,0.25,0.588,87.994,0.0,0.0,1.0,0.0
300000,0,0.458,0.97,-6.061,0,0.0506,0.05,0.755,0.338,0.174,150.018,0.0,0.0,1.0,0.0
224960,0,0.618,0.507,-12.796,1,0.0324,0.0238,0.0,0.374,0.601,128.09,0.0,0.0,1.0,0.0
208413,0,0.508,0.706,-6.294,1,0.0475,0.15,0.0,0.376,0.479,114.842,0.0,0.0,1.0,0.0
163909,0,0.162,0.172,-22.401,1,0.0585,0.934,0.845,0.1,0.115,89.49,0.0,1.0,0.0,0.0
148346,0,0.808,0.749,-3.524,0,0.0793,0.285,0.000765,0.152,0.546,100.018,0.0,0.0,1.0,0.0
247686,0,0.609,0.826,-6.937,1,0.0315,0.00848,8.98e-06,0.144,0.87,124.991,0.0,0.0,1.0,0.0
342786,0,0.635,0.759,-5.58,1,0.0265,0.162,0.0,0.119,0.581,112.015,0.0,0.0,1.0,0.0
245200,0,0.633,0.442,-8.463,1,0.0296,0.036,7.57e-06,0.0672,0.241,121.617,0.0,0.0,1.0,0.0
146000,0,0.685,0.75,-4.126,0,0.284,0.623,0.111,0.188,0.299,147.133,0.0,0.0,1.0,0.0
116186,0,0.406,0.00559,-27.262,1,0.0382,0.986,0.629,0.189,0.15,90.109,0.0,0.0,1.0,0.0
234468,0,0.582,0.638,-7.588,0,0.0591,0.171,0.787,0.122,0.715,199.998,0.0,0.0,1.0,0.0
236586,0,0.777,0.714,-4.296,1,0.0532,0.16,0.0,0.115,0.59,90.987,0.0,0.0,1.0,0.0
547258,0,0.706,0.529,-13.008,0,0.053,0.00353,0.924,0.0863,0.34,122.997,0.0,0.0,1.0,0.0
229693,0,0.674,0.875,-4.513,0,0.0502,0.0868,0.0,0.103,0.445,95.022,0.0,0.0,1.0,0.0
182573,0,0.64,0.848,-4.172,1,0.0444,0.0103,0.0,0.176,0.639,141.978,0.0,0.0,1.0,0.0
232653,0,0.679,0.541,-5.132,1,0.0332,0.662,0.0,0.338,0.28,111.784,0.0,0.0,1.0,0.0
221066,0,0.535,0.564,-7.224,1,0.0394,0.361,0.0,0.119,0.278,123.892,0.0,0.0,1.0,0.0
180967,1,0.548,0.629,-6.415,0,0.233,0.0455,0.0,0.164,0.468,124.024,0.0,0.0,0.0,1.0
175933,0,0.312,0.152,-12.155,1,0.034,0.848,0.0,0.0575,0.181,99.023,0.0,1.0,0.0,0.0
238840,0,0.326,0.859,-9.552,0,0.0513,0.0193,0.0012,0.658,0.579,138.558,0.0,0.0,1.0,0.0
204418,0,0.506,0.726,-5.964,0,0.0366,0.00308,8.05e-05,0.266,0.266,128.044,0.0,0.0,1.0,0.0
176345,0,0.837,0.691,-4.982,1,0.147,0.0207,0.00361,0.198,0.648,140.047,0.0,0.0,1.0,0.0
293546,0,0.718,0.458,-10.632,1,0.033,0.685,0.00222,0.118,0.567,119.958,0.0,0.0,1.0,0.0
158117,0,0.472,0.566,-5.697,1,0.0583,0.0749,0.0,0.102,0.266,100.095,0.0,0.0,1.0,0.0
196803,0,0.454,0.498,-10.585,0,0.0417,0.347,0.00686,0.108,0.318,193.928,0.0,0.0,1.0,0.0
296480,0,0.376,0.00579,-31.615,0,0.0576,0.996,0.944,0.0882,0.0369,71.827,0.0,0.0,1.0,0.0
188453,0,0.858,0.678,-3.87,0,0.0469,0.0761,0.0,0.0741,0.922,117.009,0.0,0.0,1.0,0.0
187746,0,0.43,0.645,-12.105,0,0.0895,0.736,0.000756,0.592,0.771,97.383,0.0,0.0,1.0,0.0
195891,0,0.778,0.76,-6.408,1,0.044,0.521,0.0747,0.175,0.895,122.108,0.0,0.0,1.0,0.0
256836,0,0.406,0.844,-6.09,1,0.0481,0.028,0.0,0.921,0.653,73.601,0.0,0.0,1.0,0.0
392106,0,0.452,0.504,-7.132,1,0.0369,0.668,0.00304,0.199,0.452,169.831,0.0,0.0,1.0,0.0
293960,0,0.64,0.593,-10.663,0,0.0396,0.396,0.0247,0.0599,0.528,97.404,0.0,0.0,1.0,0.0
239426,0,0.619,0.472,-8.762,1,0.0304,0.629,0.0,0.174,0.272,132.041,0.0,0.0,1.0,0.0
188472,0,0.682,0.28,-9.501,1,0.0357,0.818,0.0,0.0842,0.755,127.965,0.0,0.0,1.0,0.0
